Código Ámbito,Ámbito,Código área (M49),Área,Código Elemento,Elemento,Código Producto,Producto,Código año,Año,Unidad,Valor,Símbolo,Descripción del Símbolo
EM,Distribución de emisiones,222,El Salvador,7273,Emisiones (CO2),6996,Farm-gate emissions,2018,2018,mil toneladas,230.452,E,Valor estimado
EM,Distribución de emisiones,222,El Salvador,7273,Emisiones (CO2),6996,Farm-gate emissions,2019,2019,mil toneladas,237.9714,E,Valor estimado
EM,Distribución de emisiones,222,El Salvador,7225,Emisiones (CH4),6996,Farm-gate emissions,2018,2018,mil toneladas,56.586,E,Valor estimado
EM,Distribución de emisiones,222,El Salvador,7225,Emisiones (CH4),6996,Farm-gate emissions,2019,2019,mil toneladas,55.3076,E,Valor estimado
EM,Distribución de emisiones,222,El Salvador,7230,Emisiones (N2O),6996,Farm-gate emissions,2018,2018,mil toneladas,3.2502,E,Valor estimado
EM,Distribución de emisiones,222,El Salvador,7230,Emisiones (N2O),6996,Farm-gate emissions,2019,2019,mil toneladas,3.252,E,Valor estimado
EM,Distribución de emisiones,222,El Salvador,7273,Emisiones (CO2),6516,Cambios de uso de la tierra,2018,2018,mil toneladas,1142.5814,E,Valor estimado
EM,Distribución de emisiones,222,El Salvador,7273,Emisiones (CO2),6516,Cambios de uso de la tierra,2019,2019,mil toneladas,1142.5814,E,Valor estimado
EM,Distribución de emisiones,222,El Salvador,7225,Emisiones (CH4),6516,Cambios de uso de la tierra,2018,2018,mil toneladas,0.0747,E,Valor estimado
EM,Distribución de emisiones,222,El Salvador,7225,Emisiones (CH4),6516,Cambios de uso de la tierra,2019,2019,mil toneladas,0.0747,E,Valor estimado
EM,Distribución de emisiones,222,El Salvador,7230,Emisiones (N2O),6516,Cambios de uso de la tierra,2018,2018,mil toneladas,0.0068,E,Valor estimado
EM,Distribución de emisiones,222,El Salvador,7230,Emisiones (N2O),6516,Cambios de uso de la tierra,2019,2019,mil toneladas,0.0068,E,Valor estimado
EM,Distribución de emisiones,222,El Salvador,7273,Emisiones (CO2),6517,Pre y post-producción,2018,2018,mil toneladas,1222.1017,E,Valor estimado
EM,Distribución de emisiones,222,El Salvador,7273,Emisiones (CO2),6517,Pre y post-producción,2019,2019,mil toneladas,1236.7592,E,Valor estimado
EM,Distribución de emisiones,222,El Salvador,7225,Emisiones (CH4),6517,Pre y post-producción,2018,2018,mil toneladas,64.1526,E,Valor estimado
EM,Distribución de emisiones,222,El Salvador,7225,Emisiones (CH4),6517,Pre y post-producción,2019,2019,mil toneladas,64.2052,E,Valor estimado
EM,Distribución de emisiones,222,El Salvador,7230,Emisiones (N2O),6517,Pre y post-producción,2018,2018,mil toneladas,0.2021,E,Valor estimado
EM,Distribución de emisiones,222,El Salvador,7230,Emisiones (N2O),6517,Pre y post-producción,2019,2019,mil toneladas,0.2024,E,Valor estimado
EM,Distribución de emisiones,222,El Salvador,7273,Emisiones (CO2),6510,Uso de electricidad en agrícola,2018,2018,mil toneladas,22.9485,E,Valor estimado
EM,Distribución de emisiones,222,El Salvador,7273,Emisiones (CO2),6510,Uso de electricidad en agrícola,2019,2019,mil toneladas,23.1484,E,Valor estimado
EM,Distribución de emisiones,222,El Salvador,7225,Emisiones (CH4),6510,Uso de electricidad en agrícola,2018,2018,mil toneladas,0.1156,E,Valor estimado
EM,Distribución de emisiones,222,El Salvador,7225,Emisiones (CH4),6510,Uso de electricidad en agrícola,2019,2019,mil toneladas,0.1166,E,Valor estimado
EM,Distribución de emisiones,222,El Salvador,7230,Emisiones (N2O),6510,Uso de electricidad en agrícola,2018,2018,mil toneladas,0.0006,E,Valor estimado
EM,Distribución de emisiones,222,El Salvador,7230,Emisiones (N2O),6510,Uso de electricidad en agrícola,2019,2019,mil toneladas,0.0006,E,Valor estimado
EM,Distribución de emisiones,222,El Salvador,7273,Emisiones (CO2),6507,Transformación de alimentos,2018,2018,mil toneladas,190.6459,E,Valor estimado
EM,Distribución de emisiones,222,El Salvador,7273,Emisiones (CO2),6507,Transformación de alimentos,2019,2019,mil toneladas,189.729,E,Valor estimado
EM,Distribución de emisiones,222,El Salvador,7225,Emisiones (CH4),6507,Transformación de alimentos,2018,2018,mil toneladas,0.4882,E,Valor estimado
EM,Distribución de emisiones,222,El Salvador,7225,Emisiones (CH4),6507,Transformación de alimentos,2019,2019,mil toneladas,0.4534,E,Valor estimado
EM,Distribución de emisiones,222,El Salvador,7230,Emisiones (N2O),6507,Transformación de alimentos,2018,2018,mil toneladas,0.0022,E,Valor estimado
EM,Distribución de emisiones,222,El Salvador,7230,Emisiones (N2O),6507,Transformación de alimentos,2019,2019,mil toneladas,0.0018,E,Valor estimado
EM,Distribución de emisiones,222,El Salvador,7273,Emisiones (CO2),6815,Transformación de alimentos,2018,2018,mil toneladas,396,E,Valor estimado
EM,Distribución de emisiones,222,El Salvador,7273,Emisiones (CO2),6815,Transformación de alimentos,2019,2019,mil toneladas,396.9781,E,Valor estimado
EM,Distribución de emisiones,222,El Salvador,7225,Emisiones (CH4),6815,Transformación de alimentos,2018,2018,mil toneladas,0.0477,E,Valor estimado
EM,Distribución de emisiones,222,El Salvador,7225,Emisiones (CH4),6815,Transformación de alimentos,2019,2019,mil toneladas,0.0398,E,Valor estimado
EM,Distribución de emisiones,222,El Salvador,7230,Emisiones (N2O),6815,Transformación de alimentos,2018,2018,mil toneladas,0.0128,E,Valor estimado
EM,Distribución de emisiones,222,El Salvador,7230,Emisiones (N2O),6815,Transformación de alimentos,2019,2019,mil toneladas,0.0117,E,Valor estimado
EM,Distribución de emisiones,222,El Salvador,7273,Emisiones (CO2),6508,Venta de alimentos,2018,2018,mil toneladas,82.7808,E,Valor estimado
EM,Distribución de emisiones,222,El Salvador,7273,Emisiones (CO2),6508,Venta de alimentos,2019,2019,mil toneladas,86.9788,E,Valor estimado
EM,Distribución de emisiones,222,El Salvador,7225,Emisiones (CH4),6508,Venta de alimentos,2018,2018,mil toneladas,0.3902,E,Valor estimado
EM,Distribución de emisiones,222,El Salvador,7225,Emisiones (CH4),6508,Venta de alimentos,2019,2019,mil toneladas,0.3115,E,Valor estimado
EM,Distribución de emisiones,222,El Salvador,7230,Emisiones (N2O),6508,Venta de alimentos,2018,2018,mil toneladas,0.002,E,Valor estimado
EM,Distribución de emisiones,222,El Salvador,7230,Emisiones (N2O),6508,Venta de alimentos,2019,2019,mil toneladas,0.0017,E,Valor estimado
EM,Distribución de emisiones,222,El Salvador,7273,Emisiones (CO2),6515,Eliminación del desperdicio de alimentos,2018,2018,mil toneladas,0,E,Valor estimado
EM,Distribución de emisiones,222,El Salvador,7273,Emisiones (CO2),6515,Eliminación del desperdicio de alimentos,2019,2019,mil toneladas,0,E,Valor estimado
EM,Distribución de emisiones,222,El Salvador,7225,Emisiones (CH4),6515,Eliminación del desperdicio de alimentos,2018,2018,mil toneladas,61.9809,E,Valor estimado
EM,Distribución de emisiones,222,El Salvador,7225,Emisiones (CH4),6515,Eliminación del desperdicio de alimentos,2019,2019,mil toneladas,62.0974,E,Valor estimado
EM,Distribución de emisiones,222,El Salvador,7230,Emisiones (N2O),6515,Eliminación del desperdicio de alimentos,2018,2018,mil toneladas,0.1784,E,Valor estimado
EM,Distribución de emisiones,222,El Salvador,7230,Emisiones (N2O),6515,Eliminación del desperdicio de alimentos,2019,2019,mil toneladas,0.1802,E,Valor estimado
EM,Distribución de emisiones,222,El Salvador,7273,Emisiones (CO2),6505,Consumo de alimentos en los hogares,2018,2018,mil toneladas,521.1057,E,Valor estimado
EM,Distribución de emisiones,222,El Salvador,7273,Emisiones (CO2),6505,Consumo de alimentos en los hogares,2019,2019,mil toneladas,527.9081,E,Valor estimado
EM,Distribución de emisiones,222,El Salvador,7225,Emisiones (CH4),6505,Consumo de alimentos en los hogares,2018,2018,mil toneladas,1.1199,E,Valor estimado
EM,Distribución de emisiones,222,El Salvador,7225,Emisiones (CH4),6505,Consumo de alimentos en los hogares,2019,2019,mil toneladas,1.1541,E,Valor estimado
EM,Distribución de emisiones,222,El Salvador,7230,Emisiones (N2O),6505,Consumo de alimentos en los hogares,2018,2018,mil toneladas,0.0061,E,Valor estimado
EM,Distribución de emisiones,222,El Salvador,7230,Emisiones (N2O),6505,Consumo de alimentos en los hogares,2019,2019,mil toneladas,0.0063,E,Valor estimado
EM,Distribución de emisiones,222,El Salvador,7273,Emisiones (CO2),6506,Envasado alimentario,2018,2018,mil toneladas,8.6209,E,Valor estimado
EM,Distribución de emisiones,222,El Salvador,7273,Emisiones (CO2),6506,Envasado alimentario,2019,2019,mil toneladas,12.0168,E,Valor estimado
EM,Distribución de emisiones,222,El Salvador,7225,Emisiones (CH4),6506,Envasado alimentario,2018,2018,mil toneladas,0.01,E,Valor estimado
EM,Distribución de emisiones,222,El Salvador,7225,Emisiones (CH4),6506,Envasado alimentario,2019,2019,mil toneladas,0.0324,E,Valor estimado
EM,Distribución de emisiones,222,El Salvador,7230,Emisiones (N2O),6506,Envasado alimentario,2018,2018,mil toneladas,0.0001,E,Valor estimado
EM,Distribución de emisiones,222,El Salvador,7230,Emisiones (N2O),6506,Envasado alimentario,2019,2019,mil toneladas,0.0001,E,Valor estimado
EM,Distribución de emisiones,320,Guatemala,7273,Emisiones (CO2),6996,Farm-gate emissions,2018,2018,mil toneladas,376.378,E,Valor estimado
EM,Distribución de emisiones,320,Guatemala,7273,Emisiones (CO2),6996,Farm-gate emissions,2019,2019,mil toneladas,389.3307,E,Valor estimado
EM,Distribución de emisiones,320,Guatemala,7225,Emisiones (CH4),6996,Farm-gate emissions,2018,2018,mil toneladas,252.8858,E,Valor estimado
EM,Distribución de emisiones,320,Guatemala,7225,Emisiones (CH4),6996,Farm-gate emissions,2019,2019,mil toneladas,258.758,E,Valor estimado
EM,Distribución de emisiones,320,Guatemala,7230,Emisiones (N2O),6996,Farm-gate emissions,2018,2018,mil toneladas,13.1582,E,Valor estimado
EM,Distribución de emisiones,320,Guatemala,7230,Emisiones (N2O),6996,Farm-gate emissions,2019,2019,mil toneladas,13.3291,E,Valor estimado
EM,Distribución de emisiones,320,Guatemala,7273,Emisiones (CO2),6516,Cambios de uso de la tierra,2018,2018,mil toneladas,4404.3014,E,Valor estimado
EM,Distribución de emisiones,320,Guatemala,7273,Emisiones (CO2),6516,Cambios de uso de la tierra,2019,2019,mil toneladas,4404.3014,E,Valor estimado
EM,Distribución de emisiones,320,Guatemala,7225,Emisiones (CH4),6516,Cambios de uso de la tierra,2018,2018,mil toneladas,0.3862,E,Valor estimado
EM,Distribución de emisiones,320,Guatemala,7225,Emisiones (CH4),6516,Cambios de uso de la tierra,2019,2019,mil toneladas,2.1824,E,Valor estimado
EM,Distribución de emisiones,320,Guatemala,7230,Emisiones (N2O),6516,Cambios de uso de la tierra,2018,2018,mil toneladas,0.0353,E,Valor estimado
EM,Distribución de emisiones,320,Guatemala,7230,Emisiones (N2O),6516,Cambios de uso de la tierra,2019,2019,mil toneladas,0.1993,E,Valor estimado
EM,Distribución de emisiones,320,Guatemala,7273,Emisiones (CO2),6517,Pre y post-producción,2018,2018,mil toneladas,2349.2693,E,Valor estimado
EM,Distribución de emisiones,320,Guatemala,7273,Emisiones (CO2),6517,Pre y post-producción,2019,2019,mil toneladas,2281.4641,E,Valor estimado
EM,Distribución de emisiones,320,Guatemala,7225,Emisiones (CH4),6517,Pre y post-producción,2018,2018,mil toneladas,126.0415,E,Valor estimado
EM,Distribución de emisiones,320,Guatemala,7225,Emisiones (CH4),6517,Pre y post-producción,2019,2019,mil toneladas,128.6306,E,Valor estimado
EM,Distribución de emisiones,320,Guatemala,7230,Emisiones (N2O),6517,Pre y post-producción,2018,2018,mil toneladas,0.4739,E,Valor estimado
EM,Distribución de emisiones,320,Guatemala,7230,Emisiones (N2O),6517,Pre y post-producción,2019,2019,mil toneladas,0.4809,E,Valor estimado
EM,Distribución de emisiones,320,Guatemala,7273,Emisiones (CO2),6510,Uso de electricidad en agrícola,2018,2018,mil toneladas,22.4583,E,Valor estimado
EM,Distribución de emisiones,320,Guatemala,7273,Emisiones (CO2),6510,Uso de electricidad en agrícola,2019,2019,mil toneladas,23.015,E,Valor estimado
EM,Distribución de emisiones,320,Guatemala,7225,Emisiones (CH4),6510,Uso de electricidad en agrícola,2018,2018,mil toneladas,0.0599,E,Valor estimado
EM,Distribución de emisiones,320,Guatemala,7225,Emisiones (CH4),6510,Uso de electricidad en agrícola,2019,2019,mil toneladas,0.0614,E,Valor estimado
EM,Distribución de emisiones,320,Guatemala,7230,Emisiones (N2O),6510,Uso de electricidad en agrícola,2018,2018,mil toneladas,0.0003,E,Valor estimado
EM,Distribución de emisiones,320,Guatemala,7230,Emisiones (N2O),6510,Uso de electricidad en agrícola,2019,2019,mil toneladas,0.0003,E,Valor estimado
EM,Distribución de emisiones,320,Guatemala,7273,Emisiones (CO2),6507,Transformación de alimentos,2018,2018,mil toneladas,390.7132,E,Valor estimado
EM,Distribución de emisiones,320,Guatemala,7273,Emisiones (CO2),6507,Transformación de alimentos,2019,2019,mil toneladas,388.809,E,Valor estimado
EM,Distribución de emisiones,320,Guatemala,7225,Emisiones (CH4),6507,Transformación de alimentos,2018,2018,mil toneladas,12.3677,E,Valor estimado
EM,Distribución de emisiones,320,Guatemala,7225,Emisiones (CH4),6507,Transformación de alimentos,2019,2019,mil toneladas,14.3622,E,Valor estimado
EM,Distribución de emisiones,320,Guatemala,7230,Emisiones (N2O),6507,Transformación de alimentos,2018,2018,mil toneladas,0.0168,E,Valor estimado
EM,Distribución de emisiones,320,Guatemala,7230,Emisiones (N2O),6507,Transformación de alimentos,2019,2019,mil toneladas,0.0172,E,Valor estimado
EM,Distribución de emisiones,320,Guatemala,7273,Emisiones (CO2),6815,Transformación de alimentos,2018,2018,mil toneladas,995.588,E,Valor estimado
EM,Distribución de emisiones,320,Guatemala,7273,Emisiones (CO2),6815,Transformación de alimentos,2019,2019,mil toneladas,893.2076,E,Valor estimado
EM,Distribución de emisiones,320,Guatemala,7225,Emisiones (CH4),6815,Transformación de alimentos,2018,2018,mil toneladas,0.1,E,Valor estimado
EM,Distribución de emisiones,320,Guatemala,7225,Emisiones (CH4),6815,Transformación de alimentos,2019,2019,mil toneladas,0.0809,E,Valor estimado
EM,Distribución de emisiones,320,Guatemala,7230,Emisiones (N2O),6815,Transformación de alimentos,2018,2018,mil toneladas,0.0327,E,Valor estimado
EM,Distribución de emisiones,320,Guatemala,7230,Emisiones (N2O),6815,Transformación de alimentos,2019,2019,mil toneladas,0.0288,E,Valor estimado
EM,Distribución de emisiones,320,Guatemala,7273,Emisiones (CO2),6508,Venta de alimentos,2018,2018,mil toneladas,248.6569,E,Valor estimado
EM,Distribución de emisiones,320,Guatemala,7273,Emisiones (CO2),6508,Venta de alimentos,2019,2019,mil toneladas,277.1304,E,Valor estimado
EM,Distribución de emisiones,320,Guatemala,7225,Emisiones (CH4),6508,Venta de alimentos,2018,2018,mil toneladas,0.6395,E,Valor estimado
EM,Distribución de emisiones,320,Guatemala,7225,Emisiones (CH4),6508,Venta de alimentos,2019,2019,mil toneladas,0.7185,E,Valor estimado
EM,Distribución de emisiones,320,Guatemala,7230,Emisiones (N2O),6508,Venta de alimentos,2018,2018,mil toneladas,0.0032,E,Valor estimado
EM,Distribución de emisiones,320,Guatemala,7230,Emisiones (N2O),6508,Venta de alimentos,2019,2019,mil toneladas,0.0036,E,Valor estimado
EM,Distribución de emisiones,320,Guatemala,7273,Emisiones (CO2),6515,Eliminación del desperdicio de alimentos,2018,2018,mil toneladas,0,E,Valor estimado
EM,Distribución de emisiones,320,Guatemala,7273,Emisiones (CO2),6515,Eliminación del desperdicio de alimentos,2019,2019,mil toneladas,0,E,Valor estimado
EM,Distribución de emisiones,320,Guatemala,7225,Emisiones (CH4),6515,Eliminación del desperdicio de alimentos,2018,2018,mil toneladas,111.5135,E,Valor estimado
EM,Distribución de emisiones,320,Guatemala,7225,Emisiones (CH4),6515,Eliminación del desperdicio de alimentos,2019,2019,mil toneladas,111.6774,E,Valor estimado
EM,Distribución de emisiones,320,Guatemala,7230,Emisiones (N2O),6515,Eliminación del desperdicio de alimentos,2018,2018,mil toneladas,0.4143,E,Valor estimado
EM,Distribución de emisiones,320,Guatemala,7230,Emisiones (N2O),6515,Eliminación del desperdicio de alimentos,2019,2019,mil toneladas,0.424,E,Valor estimado
EM,Distribución de emisiones,320,Guatemala,7273,Emisiones (CO2),6505,Consumo de alimentos en los hogares,2018,2018,mil toneladas,674.1876,E,Valor estimado
EM,Distribución de emisiones,320,Guatemala,7273,Emisiones (CO2),6505,Consumo de alimentos en los hogares,2019,2019,mil toneladas,674.1876,E,Valor estimado
EM,Distribución de emisiones,320,Guatemala,7225,Emisiones (CH4),6505,Consumo de alimentos en los hogares,2018,2018,mil toneladas,1.1069,E,Valor estimado
EM,Distribución de emisiones,320,Guatemala,7225,Emisiones (CH4),6505,Consumo de alimentos en los hogares,2019,2019,mil toneladas,1.1069,E,Valor estimado
EM,Distribución de emisiones,320,Guatemala,7230,Emisiones (N2O),6505,Consumo de alimentos en los hogares,2018,2018,mil toneladas,0.006,E,Valor estimado
EM,Distribución de emisiones,320,Guatemala,7230,Emisiones (N2O),6505,Consumo de alimentos en los hogares,2019,2019,mil toneladas,0.006,E,Valor estimado
EM,Distribución de emisiones,320,Guatemala,7273,Emisiones (CO2),6506,Envasado alimentario,2018,2018,mil toneladas,17.6653,E,Valor estimado
EM,Distribución de emisiones,320,Guatemala,7273,Emisiones (CO2),6506,Envasado alimentario,2019,2019,mil toneladas,25.1145,E,Valor estimado
EM,Distribución de emisiones,320,Guatemala,7225,Emisiones (CH4),6506,Envasado alimentario,2018,2018,mil toneladas,0.2541,E,Valor estimado
EM,Distribución de emisiones,320,Guatemala,7225,Emisiones (CH4),6506,Envasado alimentario,2019,2019,mil toneladas,0.6233,E,Valor estimado
